Date,Team,Season,Opp,R,RA,W/L,Rank
"Monday, Apr 6",TOR,2015,NYY,6.0,1.0,W,1.0
"Wednesday, Apr 8",TOR,2015,NYY,3.0,4.0,L,2.0
"Thursday, Apr 9",TOR,2015,NYY,6.0,3.0,W,1.0
"Friday, Apr 10",TOR,2015,BAL,12.0,5.0,W,1.0
"Saturday, Apr 11",TOR,2015,BAL,1.0,7.0,L,2.0
"Sunday, Apr 12",TOR,2015,BAL,10.0,7.0,W,1.0
"Monday, Apr 13",TOR,2015,TBR,1.0,2.0,L,2.0
"Tuesday, Apr 14",TOR,2015,TBR,2.0,3.0,L,3.0
"Wednesday, Apr 15",TOR,2015,TBR,12.0,7.0,W,2.0
"Thursday, Apr 16",TOR,2015,TBR,2.0,4.0,L,4.0
"Friday, Apr 17",TOR,2015,ATL,7.0,8.0,L,4.0
"Saturday, Apr 18",TOR,2015,ATL,6.0,5.0,W-wo,3.0
"Sunday, Apr 19",TOR,2015,ATL,2.0,5.0,L,4.0
"Tuesday, Apr 21",TOR,2015,BAL,13.0,6.0,W,2.0
"Wednesday, Apr 22",TOR,2015,BAL,4.0,2.0,W,2.0
"Thursday, Apr 23",TOR,2015,BAL,7.0,6.0,W,1.0
"Friday, Apr 24",TOR,2015,TBR,3.0,12.0,L,3.0
"Saturday, Apr 25",TOR,2015,TBR,2.0,4.0,L,4.0
"Sunday, Apr 26",TOR,2015,TBR,1.0,5.0,L,4.0
"Monday, Apr 27",TOR,2015,BOS,5.0,6.0,L-wo,5.0
"Tuesday, Apr 28",TOR,2015,BOS,11.0,8.0,W,4.0
"Wednesday, Apr 29",TOR,2015,BOS,1.0,4.0,L,5.0
"Thursday, Apr 30",TOR,2015,CLE,5.0,1.0,W,5.0
"Friday, May 1",TOR,2015,CLE,4.0,9.0,L,5.0
"Saturday, May 2",TOR,2015,CLE,11.0,4.0,W,5.0
"Sunday, May 3",TOR,2015,CLE,7.0,10.0,L,5.0
"Monday, May 4",TOR,2015,NYY,3.0,1.0,W,4.0
"Tuesday, May 5",TOR,2015,NYY,3.0,6.0,L,5.0
"Wednesday, May 6",TOR,2015,NYY,5.0,1.0,W,3.0
"Friday, May 8",TOR,2015,BOS,7.0,0.0,W,3.0
"Saturday, May 9",TOR,2015,BOS,7.0,1.0,W,3.0
"Sunday, May 10",TOR,2015,BOS,3.0,6.0,L,3.0
"Monday, May 11",TOR,2015,BAL,2.0,5.0,L,3.0
"Tuesday, May 12",TOR,2015,BAL,10.0,2.0,W,3.0
"Wednesday, May 13",TOR,2015,BAL,1.0,6.0,L,3.0
"Thursday, May 14",TOR,2015,HOU,4.0,6.0,L,4.0
"Friday, May 15",TOR,2015,HOU,4.0,8.0,L,4.0
"Saturday, May 16",TOR,2015,HOU,5.0,6.0,L,4.0
"Sunday, May 17",TOR,2015,HOU,2.0,4.0,L,5.0
"Monday, May 18",TOR,2015,LAA,10.0,6.0,W,5.0
"Tuesday, May 19",TOR,2015,LAA,2.0,3.0,L,5.0
"Wednesday, May 20",TOR,2015,LAA,3.0,4.0,L,5.0
"Thursday, May 21",TOR,2015,LAA,8.0,4.0,W,5.0
"Friday, May 22",TOR,2015,SEA,3.0,4.0,L,5.0
"Saturday, May 23",TOR,2015,SEA,2.0,3.0,L,5.0
"Sunday, May 24",TOR,2015,SEA,8.0,2.0,W,5.0
"Monday, May 25",TOR,2015,CHW,6.0,0.0,W,5.0
"Tuesday, May 26",TOR,2015,CHW,10.0,9.0,W-wo,4.0
"Wednesday, May 27",TOR,2015,CHW,3.0,5.0,L,4.0
"Friday, May 29",TOR,2015,MIN,6.0,4.0,W,4.0
"Saturday, May 30",TOR,2015,MIN,2.0,3.0,L,4.0
"Sunday, May 31",TOR,2015,MIN,5.0,6.0,L,4.0
"Tuesday, Jun 2 (1)",TOR,2015,WSN,0.0,2.0,L,4.0
"Tuesday, Jun 2 (2)",TOR,2015,WSN,7.0,3.0,W,4.0
"Wednesday, Jun 3",TOR,2015,WSN,8.0,0.0,W,3.0
"Friday, Jun 5",TOR,2015,HOU,6.0,2.0,W,3.0
"Saturday, Jun 6",TOR,2015,HOU,7.0,2.0,W,3.0
"Sunday, Jun 7",TOR,2015,HOU,7.0,6.0,W-wo,3.0
"Monday, Jun 8",TOR,2015,MIA,11.0,3.0,W,3.0
"Tuesday, Jun 9",TOR,2015,MIA,4.0,3.0,W-wo,3.0
"Wednesday, Jun 10",TOR,2015,MIA,7.0,2.0,W,3.0
"Friday, Jun 12",TOR,2015,BOS,13.0,10.0,W,3.0
"Saturday, Jun 13",TOR,2015,BOS,5.0,4.0,W,3.0
"Sunday, Jun 14",TOR,2015,BOS,13.0,5.0,W,3.0
"Monday, Jun 15",TOR,2015,NYM,3.0,4.0,L-wo,3.0
"Tuesday, Jun 16",TOR,2015,NYM,2.0,3.0,L,3.0
"Wednesday, Jun 17",TOR,2015,NYM,8.0,0.0,W,3.0
"Thursday, Jun 18",TOR,2015,NYM,7.0,1.0,W,3.0
"Friday, Jun 19",TOR,2015,BAL,5.0,4.0,W,3.0
"Saturday, Jun 20",TOR,2015,BAL,3.0,5.0,L,3.0
"Sunday, Jun 21",TOR,2015,BAL,9.0,13.0,L,3.0
"Monday, Jun 22",TOR,2015,TBR,8.0,5.0,W,3.0
"Tuesday, Jun 23",TOR,2015,TBR,3.0,4.0,L,4.0
"Wednesday, Jun 24",TOR,2015,TBR,1.0,0.0,W,3.0
"Friday, Jun 26",TOR,2015,TEX,12.0,2.0,W,3.0
"Saturday, Jun 27",TOR,2015,TEX,0.0,4.0,L,4.0
"Sunday, Jun 28",TOR,2015,TEX,3.0,2.0,W,4.0
"Monday, Jun 29",TOR,2015,BOS,1.0,3.0,L,4.0
"Tuesday, Jun 30",TOR,2015,BOS,3.0,4.0,L,4.0
"Wednesday, Jul 1",TOR,2015,BOS,11.0,2.0,W,3.0
"Thursday, Jul 2",TOR,2015,BOS,6.0,12.0,L,3.0
"Friday, Jul 3",TOR,2015,DET,6.0,8.0,L,3.0
"Saturday, Jul 4",TOR,2015,DET,3.0,8.0,L,3.0
