#,Season,Team,TG,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,WPA,-WPA,+WPA,RE24,REW,pLI,phLI,PH,WPA/LI,Clutch,PA,BB%+,K%+,AVG+,OBP+,SLG+,wRC+,ISO+,BABIP+,LD%+,GB%+,FB%+,Pull%+,Cent%+,Oppo%+,PA,Events,EV,EV90,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,AVG,xBA,SLG,xSLG,wOBA,xwOBA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace
1,2025,BOS,35,47,96,108,19,15,3,0,1,6,6,10,0,30,1,0,1,4,1,0,0.198,108,9.3%,27.8%,0.33,0.198,0.280,0.260,0.541,0.063,2.6,0.277,,,,0.0,7,-5.5,0.249,54,0.277,0.96,21.5%,38.5%,40.0%,19.2%,3.8%,0,0.0%,0,0.0%,31.3%,34.3%,34.3%,19.4%,64.2%,16.4%,-0.64,-2.43,1.78,-7.07,-0.74,1.19,2.47,6,-0.67,0.13,108,112,123,81,90,64,54,39,96,110,93,102,76,99,143,108,67,87.5,103.1,108.9,19.6,3,4.5%,26,38.8%,0.198,0.195,0.260,0.282,0.249,0.255,26.9%,61.8%,45.5%,50.9%,78.4%,70.8%,53.3%,20.4
2,2025,CLE,45,54,90,99,16,9,4,0,3,10,8,9,1,24,0,0,0,3,0,1,0.178,99,9.1%,24.2%,0.38,0.178,0.253,0.322,0.575,0.144,2.2,0.206,,,,-0.5,7,-4.9,0.251,60,0.206,1.85,12.3%,56.9%,30.8%,15.0%,15.0%,3,8.1%,0,0.0%,37.9%,31.8%,30.3%,24.2%,45.5%,30.3%,-0.86,-2.57,1.71,-2.56,-0.27,1.12,2.34,5,-0.44,-0.32,99,110,108,73,81,79,60,89,72,63,138,78,92,92,126,99,66,87.2,104.0,110.8,4.9,3,4.5%,24,36.4%,0.178,0.200,0.322,0.308,0.251,0.257,30.3%,66.2%,49.5%,44.6%,84.4%,73.1%,53.5%,17.6
3,2025,DET,15,124,290,328,60,40,14,0,6,29,29,29,4,88,5,0,4,3,2,1,0.207,328,8.8%,26.8%,0.33,0.207,0.290,0.317,0.607,0.110,2.5,0.276,,,,-0.5,27,-12.0,0.269,69,0.276,1.08,23.4%,39.8%,36.8%,9.5%,8.1%,5,6.3%,1,20.0%,40.3%,40.3%,19.4%,16.5%,55.3%,28.2%,-1.47,-7.56,6.09,-7.59,-0.87,1.25,1.11,9,-0.79,-0.38,328,107,119,85,93,78,69,68,96,120,97,94,98,116,81,328,206,88.5,104.2,112.8,15.7,11,5.3%,73,35.4%,0.207,0.227,0.317,0.369,0.269,0.296,33.1%,66.3%,49.1%,57.6%,82.7%,73.9%,48.2%,19.2
4,2025,NYY,66,106,235,261,59,41,12,0,6,28,27,20,3,66,3,3,0,3,1,0,0.251,261,7.7%,25.3%,0.30,0.251,0.314,0.379,0.693,0.128,2.6,0.319,,,,-0.2,28,-2.5,0.300,93,0.319,0.90,19.9%,38.0%,42.1%,12.5%,8.3%,3,4.6%,0,0.0%,50.6%,31.4%,18.0%,11.6%,58.7%,29.7%,-0.38,-4.71,4.32,-1.13,-0.12,1.00,0.65,6,-0.05,-0.34,261,93,112,103,100,93,93,79,111,102,92,107,122,91,75,261,172,91.4,107.5,116.3,17.5,18,10.5%,78,45.3%,0.251,0.237,0.379,0.398,0.300,0.307,29.5%,63.9%,47.6%,49.3%,82.0%,72.4%,52.7%,19.3
5,2025,SEA,17,185,409,467,88,55,12,1,20,49,47,48,4,129,6,3,1,11,7,2,0.215,467,10.3%,27.6%,0.37,0.215,0.305,0.396,0.701,0.181,3.7,0.259,,,,-0.1,52,-3.0,0.304,101,0.259,0.86,17.7%,37.9%,44.3%,13.6%,16.0%,4,3.7%,1,50.0%,40.5%,37.7%,21.8%,18.3%,48.2%,33.5%,-0.25,-8.29,8.04,-1.94,-0.24,0.99,0.94,11,0.12,-0.38,467,124,123,88,97,98,101,112,90,91,92,113,98,109,91,467,284,90.0,106.1,113.7,16.9,30,10.6%,122,43.0%,0.215,0.216,0.396,0.392,0.304,0.304,31.2%,66.1%,48.1%,53.0%,79.9%,70.9%,48.3%,19.2
6,2025,TOR,44,296,667,750,190,124,36,2,28,105,99,61,8,128,11,6,5,11,3,2,0.285,750,8.1%,17.1%,0.48,0.285,0.352,0.471,0.822,0.186,3.3,0.313,,,,-1.5,113,23.9,0.352,128,0.313,1.14,22.8%,41.1%,36.1%,9.2%,14.3%,14,6.3%,0,0.0%,40.2%,33.6%,26.2%,18.9%,53.1%,28.0%,0.00,-13.12,13.12,24.11,2.62,0.99,0.87,9,1.83,-1.83,750,98,76,117,112,116,128,115,109,117,100,92,97,97,109,750,550,88.4,105.2,116.0,11.3,46,8.4%,210,38.2%,0.285,0.275,0.471,0.440,0.352,0.343,32.6%,67.3%,50.8%,63.2%,86.2%,79.2%,52.5%,19.7
7,2025,CHC,47,120,249,277,55,37,6,0,12,23,22,21,2,81,3,1,3,4,3,3,0.221,277,7.6%,29.2%,0.26,0.221,0.288,0.390,0.678,0.169,2.0,0.274,,,,-1.0,28,-4.5,0.294,88,0.274,0.73,23.4%,32.3%,44.3%,12.2%,16.2%,3,5.6%,0,0.0%,39.0%,36.0%,25.0%,12.2%,58.1%,29.7%,-0.69,-3.73,3.04,-10.45,-1.08,0.72,0.78,4,-1.10,0.14,277,89,134,89,91,97,88,109,94,117,76,117,96,103,103,277,172,89.4,105.8,117.3,17.5,18,10.5%,69,40.1%,0.221,0.227,0.390,0.418,0.294,0.307,30.6%,65.3%,48.1%,53.7%,82.1%,73.1%,50.5%,20.2
8,2025,CIN,4,33,67,79,13,11,2,0,0,9,9,10,0,25,1,1,0,0,1,0,0.194,79,12.7%,31.6%,0.40,0.194,0.304,0.224,0.528,0.030,4.2,0.302,,,,0.1,5,-4.0,0.251,54,0.302,2.00,16.3%,55.8%,27.9%,8.3%,0.0%,1,4.2%,0,0.0%,48.8%,25.6%,25.6%,16.3%,44.2%,39.5%,-0.37,-1.11,0.74,0.00,0.00,0.75,0.39,2,-0.19,-0.30,79,148,145,79,96,56,54,19,103,82,132,74,120,73,106,79,43,86.6,103.6,108.1,5.3,1,2.3%,16,37.2%,0.194,0.195,0.224,0.245,0.251,0.260,33.3%,56.7%,44.3%,50.8%,79.8%,68.2%,47.0%,20.0
9,2025,LAD,122,256,605,692,141,89,26,2,24,72,68,68,15,165,11,3,5,9,3,1,0.233,692,9.8%,23.8%,0.41,0.233,0.320,0.402,0.722,0.169,3.0,0.279,,,,-0.8,80,-1.4,0.309,99,0.279,0.98,20.6%,39.4%,40.0%,10.7%,13.6%,12,6.9%,1,16.7%,45.3%,31.0%,23.7%,15.4%,48.9%,35.7%,-0.53,-12.87,12.34,-7.67,-0.79,1.09,1.56,12,0.38,-0.87,692,115,109,94,101,100,99,109,95,103,93,106,111,88,98,692,448,90.1,104.6,117.7,16.6,50,11.2%,194,43.3%,0.233,0.243,0.402,0.429,0.309,0.326,29.2%,65.3%,48.0%,52.3%,83.7%,74.4%,51.9%,19.6
10,2025,MIL,31,146,279,312,54,34,11,1,8,26,25,29,0,75,1,2,1,6,6,1,0.194,312,9.3%,24.0%,0.39,0.194,0.270,0.326,0.596,0.133,4.4,0.232,,,,0.4,25,-12.2,0.265,68,0.232,1.41,19.6%,47.1%,33.3%,11.8%,11.8%,6,6.3%,0,0.0%,44.0%,31.9%,24.2%,12.1%,56.5%,31.4%,-1.58,-5.56,3.98,-12.70,-1.31,0.97,1.49,10,-1.20,-0.44,312,109,110,78,85,81,68,85,79,98,111,88,108,91,100,312,207,90.5,105.6,111.5,10.5,16,7.7%,95,45.9%,0.194,0.240,0.326,0.375,0.265,0.304,29.6%,62.1%,46.7%,49.1%,84.4%,73.8%,52.5%,18.0
